State,Sex,Age group,COVID-19 Deaths,Pneumonia and COVID-19 Deaths
United States,All Sexes,All Ages,212328,96557
United States,All Sexes,Under 1 year,26,4
United States,All Sexes,0-17 years,111,18
United States,All Sexes,1-4 years,15,2
United States,All Sexes,5-14 years,39,7
United States,All Sexes,15-24 years,388,138
United States,All Sexes,18-29 years,944,392
United States,All Sexes,25-34 years,1649,733
United States,All Sexes,30-49 years,9714,4377
United States,All Sexes,35-44 years,4262,1891
United States,All Sexes,45-54 years,11252,5309
United States,All Sexes,50-64 years,33896,16578
United States,All Sexes,55-64 years,27034,13281
United States,All Sexes,65-74 years,45951,22489
United States,All Sexes,75-84 years,56409,26484
United States,All Sexes,85 years and over,65303,26219
United States,Male,All Ages,114917,54658
United States,Male,Under 1 year,18,3
United States,Male,0-17 years,66,11
United States,Male,1-4 years,7,1
United States,Male,5-14 years,25,6
United States,Male,15-24 years,237,84
United States,Male,18-29 years,603,234
United States,Male,25-34 years,1076,465
United States,Male,30-49 years,6607,2987
United States,Male,35-44 years,2879,1280
United States,Male,45-54 years,7662,3634
United States,Male,50-64 years,22118,10779
United States,Male,55-64 years,17490,8538
United States,Male,65-74 years,28152,13897
United States,Male,75-84 years,31119,15032
United States,Male,85 years and over,26252,11718
United States,Female,All Ages,97405,41895
United States,Female,Under 1 year,8,1
United States,Female,0-17 years,45,7
United States,Female,1-4 years,8,1
United States,Female,5-14 years,14,1
United States,Female,15-24 years,151,54
United States,Female,18-29 years,341,158
United States,Female,25-34 years,573,268
United States,Female,30-49 years,3107,1390
United States,Female,35-44 years,1383,611
United States,Female,45-54 years,3588,1674
United States,Female,50-64 years,11776,5798
United States,Female,55-64 years,9544,4743
United States,Female,65-74 years,17798,8591
United States,Female,75-84 years,25289,11451
United States,Female,85 years and over,39049,14500
United States,Unknown,All Ages,6,4
United States,Unknown,Under 1 year,0,0
United States,Unknown,0-17 years,0,0
United States,Unknown,1-4 years,0,0
United States,Unknown,5-14 years,0,0
United States,Unknown,15-24 years,0,0
United States,Unknown,18-29 years,0,0
United States,Unknown,25-34 years,0,0
United States,Unknown,30-49 years,0,0
United States,Unknown,35-44 years,0,0
United States,Unknown,45-54 years,2,1
United States,Unknown,50-64 years,2,1
United States,Unknown,55-64 years,0,0
United States,Unknown,65-74 years,1,1
United States,Unknown,75-84 years,1,1
United States,Unknown,85 years and over,2,1
Alabama,All Sexes,All Ages,3770,1236
Alabama,Male,All Ages,1925,645
Alabama,Male,Under 1 year,0,0
Alabama,Male,0-17 years,0,0
Alabama,Male,1-4 years,0,0
Alabama,Male,5-14 years,0,0
Alabama,Male,15-24 years,0,0
Alabama,Male,18-29 years,11,0
Alabama,Male,25-34 years,18,0
Alabama,Male,30-49 years,106,37
Alabama,Male,35-44 years,48,20
Alabama,Male,45-54 years,127,33
Alabama,Male,50-64 years,362,108
Alabama,Male,55-64 years,283,87
Alabama,Male,65-74 years,532,184
Alabama,Male,75-84 years,551,192
Alabama,Male,85 years and over,362,122
Alabama,Female,All Ages,1845,591
Alabama,Female,Under 1 year,0,0
Alabama,Female,0-17 years,0,0
Alabama,Female,1-4 years,0,0
Alabama,Female,5-14 years,0,0
Alabama,Female,15-24 years,0,0
Alabama,Female,18-29 years,0,0
Alabama,Female,25-34 years,11,0
Alabama,Female,30-49 years,76,21
Alabama,Female,35-44 years,32,0
Alabama,Female,45-54 years,100,25
Alabama,Female,50-64 years,299,88
Alabama,Female,55-64 years,234,70
Alabama,Female,65-74 years,402,141
Alabama,Female,75-84 years,484,169
Alabama,Female,85 years and over,580,170
Alabama,Unknown,All Ages,0,0
Alabama,Unknown,Under 1 year,0,0
Alabama,Unknown,0-17 years,0,0
Alabama,Unknown,1-4 years,0,0
Alabama,Unknown,5-14 years,0,0
Alabama,Unknown,15-24 years,0,0
Alabama,Unknown,18-29 years,0,0
Alabama,Unknown,25-34 years,0,0
Alabama,Unknown,30-49 years,0,0
Alabama,Unknown,35-44 years,0,0
Alabama,Unknown,45-54 years,0,0
Alabama,Unknown,50-64 years,0,0
Alabama,Unknown,55-64 years,0,0
Alabama,Unknown,65-74 years,0,0
Alabama,Unknown,75-84 years,0,0
Alabama,Unknown,85 years and over,0,0
Alaska,All Sexes,All Ages,55,29
Alaska,Male,All Ages,34,13
Alaska,Male,Under 1 year,0,0
Alaska,Male,0-17 years,0,0
Alaska,Male,1-4 years,0,0
Alaska,Male,5-14 years,0,0
Alaska,Male,15-24 years,0,0
Alaska,Male,18-29 years,0,0
Alaska,Male,25-34 years,0,0
Alaska,Male,30-49 years,0,0
Alaska,Male,35-44 years,0,0
Alaska,Male,45-54 years,0,0
Alaska,Male,50-64 years,0,0
Alaska,Male,55-64 years,0,0
Alaska,Male,65-74 years,11,0
Alaska,Male,75-84 years,11,0
Alaska,Male,85 years and over,0,0
Alaska,Female,All Ages,21,16
Alaska,Female,Under 1 year,0,0
Alaska,Female,0-17 years,0,0
Alaska,Female,1-4 years,0,0
Alaska,Female,5-14 years,0,0
Alaska,Female,15-24 years,0,0
Alaska,Female,18-29 years,0,0
Alaska,Female,25-34 years,0,0
Alaska,Female,30-49 years,0,0
Alaska,Female,35-44 years,0,0
Alaska,Female,45-54 years,0,0
Alaska,Female,50-64 years,0,0
Alaska,Female,55-64 years,0,0
Alaska,Female,65-74 years,0,0
Alaska,Female,75-84 years,0,0
Alaska,Female,85 years and over,0,0
Alaska,Unknown,All Ages,0,0
Alaska,Unknown,Under 1 year,0,0
Alaska,Unknown,0-17 years,0,0
Alaska,Unknown,1-4 years,0,0
Alaska,Unknown,5-14 years,0,0
Alaska,Unknown,15-24 years,0,0
Alaska,Unknown,18-29 years,0,0
Alaska,Unknown,25-34 years,0,0
Alaska,Unknown,30-49 years,0,0
Alaska,Unknown,35-44 years,0,0
Alaska,Unknown,45-54 years,0,0
Alaska,Unknown,50-64 years,0,0
Alaska,Unknown,55-64 years,0,0
Alaska,Unknown,65-74 years,0,0
Alaska,Unknown,75-84 years,0,0
Alaska,Unknown,85 years and over,0,0
Arizona,All Sexes,All Ages,5227,2956
Arizona,Male,All Ages,3020,1732
Arizona,Male,Under 1 year,0,0
Arizona,Male,0-17 years,0,0
Arizona,Male,1-4 years,0,0
Arizona,Male,5-14 years,0,0
Arizona,Male,15-24 years,16,0
Arizona,Male,18-29 years,38,22
Arizona,Male,25-34 years,59,32
Arizona,Male,30-49 years,251,129
Arizona,Male,35-44 years,115,60
Arizona,Male,45-54 years,263,145
Arizona,Male,50-64 years,684,402
Arizona,Male,55-64 years,521,309
Arizona,Male,65-74 years,723,447
Arizona,Male,75-84 years,780,458
Arizona,Male,85 years and over,539,272
Arizona,Female,All Ages,2207,1224
Arizona,Female,Under 1 year,0,0
Arizona,Female,0-17 years,0,0
Arizona,Female,1-4 years,0,0
Arizona,Female,5-14 years,0,0
Arizona,Female,15-24 years,0,0
Arizona,Female,18-29 years,16,0
Arizona,Female,25-34 years,31,16
Arizona,Female,30-49 years,140,80
Arizona,Female,35-44 years,62,28
Arizona,Female,45-54 years,114,70
Arizona,Female,50-64 years,361,207
Arizona,Female,55-64 years,304,176
Arizona,Female,65-74 years,483,296
Arizona,Female,75-84 years,578,336
Arizona,Female,85 years and over,629,297
Arizona,Unknown,All Ages,0,0
Arizona,Unknown,Under 1 year,0,0
Arizona,Unknown,0-17 years,0,0
Arizona,Unknown,1-4 years,0,0
Arizona,Unknown,5-14 years,0,0
Arizona,Unknown,15-24 years,0,0
Arizona,Unknown,18-29 years,0,0
Arizona,Unknown,25-34 years,0,0
Arizona,Unknown,30-49 years,0,0
Arizona,Unknown,35-44 years,0,0
Arizona,Unknown,45-54 years,0,0
Arizona,Unknown,50-64 years,0,0
Arizona,Unknown,55-64 years,0,0
Arizona,Unknown,65-74 years,0,0
Arizona,Unknown,75-84 years,0,0
Arizona,Unknown,85 years and over,0,0
Arkansas,All Sexes,All Ages,1622,736
Arkansas,Male,All Ages,870,425
Arkansas,Male,Under 1 year,0,0
Arkansas,Male,0-17 years,0,0
Arkansas,Male,1-4 years,0,0
Arkansas,Male,5-14 years,0,0
Arkansas,Male,15-24 years,0,0
Arkansas,Male,18-29 years,0,0
Arkansas,Male,25-34 years,0,0
Arkansas,Male,30-49 years,42,16
Arkansas,Male,35-44 years,14,0
Arkansas,Male,45-54 years,59,28
Arkansas,Male,50-64 years,163,81
Arkansas,Male,55-64 years,126,62
Arkansas,Male,65-74 years,200,101
Arkansas,Male,75-84 years,266,139
Arkansas,Male,85 years and over,195,88
Arkansas,Female,All Ages,752,311
Arkansas,Female,Under 1 year,0,0
Arkansas,Female,0-17 years,0,0
Arkansas,Female,1-4 years,0,0
Arkansas,Female,5-14 years,0,0
Arkansas,Female,15-24 years,0,0
Arkansas,Female,18-29 years,0,0
Arkansas,Female,25-34 years,0,0
Arkansas,Female,30-49 years,42,17
Arkansas,Female,35-44 years,16,0
Arkansas,Female,45-54 years,32,17
Arkansas,Female,50-64 years,97,50
Arkansas,Female,55-64 years,85,43
Arkansas,Female,65-74 years,123,55
Arkansas,Female,75-84 years,192,89
Arkansas,Female,85 years and over,295,97
Arkansas,Unknown,All Ages,0,0
Arkansas,Unknown,Under 1 year,0,0
Arkansas,Unknown,0-17 years,0,0
Arkansas,Unknown,1-4 years,0,0
Arkansas,Unknown,5-14 years,0,0
Arkansas,Unknown,15-24 years,0,0
Arkansas,Unknown,18-29 years,0,0
Arkansas,Unknown,25-34 years,0,0
Arkansas,Unknown,30-49 years,0,0
Arkansas,Unknown,35-44 years,0,0
Arkansas,Unknown,45-54 years,0,0
Arkansas,Unknown,50-64 years,0,0
Arkansas,Unknown,55-64 years,0,0
Arkansas,Unknown,65-74 years,0,0
Arkansas,Unknown,75-84 years,0,0
Arkansas,Unknown,85 years and over,0,0
California,All Sexes,All Ages,16663,9335
California,Male,All Ages,9654,5559
California,Male,Under 1 year,0,0
California,Male,0-17 years,0,0
California,Male,1-4 years,0,0
California,Male,5-14 years,0,0
California,Male,15-24 years,25,12
California,Male,18-29 years,65,25
California,Male,25-34 years,117,54
California,Male,30-49 years,765,430
California,Male,35-44 years,331,182
California,Male,45-54 years,865,497
California,Male,50-64 years,2289,1343
California,Male,55-64 years,1782,1053
California,Male,65-74 years,2352,1387
California,Male,75-84 years,2205,1307
California,Male,85 years and over,1976,1067
California,Female,All Ages,7009,3776
California,Female,Under 1 year,0,0
California,Female,0-17 years,0,0
California,Female,1-4 years,0,0
California,Female,5-14 years,0,0
California,Female,15-24 years,24,0
California,Female,18-29 years,44,21
California,Female,25-34 years,64,32
California,Female,30-49 years,303,159
California,Female,35-44 years,142,78
California,Female,45-54 years,334,189
California,Female,50-64 years,968,574
California,Female,55-64 years,753,448
California,Female,65-74 years,1298,784
California,Female,75-84 years,1724,944
California,Female,85 years and over,2669,1294
California,Unknown,All Ages,0,0
California,Unknown,Under 1 year,0,0
California,Unknown,0-17 years,0,0
California,Unknown,1-4 years,0,0
California,Unknown,5-14 years,0,0
California,Unknown,15-24 years,0,0
California,Unknown,18-29 years,0,0
California,Unknown,25-34 years,0,0
California,Unknown,30-49 years,0,0
California,Unknown,35-44 years,0,0
California,Unknown,45-54 years,0,0
California,Unknown,50-64 years,0,0
California,Unknown,55-64 years,0,0
California,Unknown,65-74 years,0,0
California,Unknown,75-84 years,0,0
California,Unknown,85 years and over,0,0
Colorado,All Sexes,All Ages,2094,1062
Colorado,Male,All Ages,1167,618
Colorado,Male,Under 1 year,0,0
Colorado,Male,0-17 years,0,0
Colorado,Male,1-4 years,0,0
Colorado,Male,5-14 years,0,0
Colorado,Male,15-24 years,0,0
Colorado,Male,18-29 years,0,0
Colorado,Male,25-34 years,0,0
Colorado,Male,30-49 years,58,27
Colorado,Male,35-44 years,20,10
Colorado,Male,45-54 years,74,35
Colorado,Male,50-64 years,192,97
Colorado,Male,55-64 years,153,76
Colorado,Male,65-74 years,253,143
Colorado,Male,75-84 years,323,188
Colorado,Male,85 years and over,332,160
Colorado,Female,All Ages,927,444
Colorado,Female,Under 1 year,0,0
Colorado,Female,0-17 years,0,0
Colorado,Female,1-4 years,0,0
Colorado,Female,5-14 years,0,0
Colorado,Female,15-24 years,0,0
Colorado,Female,18-29 years,0,0
Colorado,Female,25-34 years,0,0
Colorado,Female,30-49 years,17,0
Colorado,Female,35-44 years,10,0
Colorado,Female,45-54 years,24,12
Colorado,Female,50-64 years,76,43
Colorado,Female,55-64 years,57,33
Colorado,Female,65-74 years,145,69
Colorado,Female,75-84 years,256,120
Colorado,Female,85 years and over,430,205
Colorado,Unknown,All Ages,0,0
Colorado,Unknown,Under 1 year,0,0
Colorado,Unknown,0-17 years,0,0
Colorado,Unknown,1-4 years,0,0
Colorado,Unknown,5-14 years,0,0
Colorado,Unknown,15-24 years,0,0
Colorado,Unknown,18-29 years,0,0
Colorado,Unknown,25-34 years,0,0
Colorado,Unknown,30-49 years,0,0
Colorado,Unknown,35-44 years,0,0
Colorado,Unknown,45-54 years,0,0
Colorado,Unknown,50-64 years,0,0
Colorado,Unknown,55-64 years,0,0
Colorado,Unknown,65-74 years,0,0
Colorado,Unknown,75-84 years,0,0
Colorado,Unknown,85 years and over,0,0
Connecticut,All Sexes,All Ages,4492,975
Connecticut,Male,All Ages,2156,512
Connecticut,Male,Under 1 year,0,0
Connecticut,Male,0-17 years,0,0
Connecticut,Male,1-4 years,0,0
Connecticut,Male,5-14 years,0,0
Connecticut,Male,15-24 years,0,0
Connecticut,Male,18-29 years,0,0
Connecticut,Male,25-34 years,11,0
Connecticut,Male,30-49 years,60,0
Connecticut,Male,35-44 years,19,0
Connecticut,Male,45-54 years,78,14
Connecticut,Male,50-64 years,289,67
Connecticut,Male,55-64 years,244,55
Connecticut,Male,65-74 years,467,120
Connecticut,Male,75-84 years,588,138
Connecticut,Male,85 years and over,748,181
Connecticut,Female,All Ages,2336,463
Connecticut,Female,Under 1 year,0,0
Connecticut,Female,0-17 years,0,0
Connecticut,Female,1-4 years,0,0
Connecticut,Female,5-14 years,0,0
Connecticut,Female,15-24 years,0,0
Connecticut,Female,18-29 years,0,0
Connecticut,Female,25-34 years,0,0
Connecticut,Female,30-49 years,25,0
Connecticut,Female,35-44 years,10,0
Connecticut,Female,45-54 years,27,0
Connecticut,Female,50-64 years,144,32
Connecticut,Female,55-64 years,129,28
Connecticut,Female,65-74 years,305,72
Connecticut,Female,75-84 years,584,134
Connecticut,Female,85 years and over,1275,221
Connecticut,Unknown,All Ages,0,0
Connecticut,Unknown,Under 1 year,0,0
Connecticut,Unknown,0-17 years,0,0
Connecticut,Unknown,1-4 years,0,0
Connecticut,Unknown,5-14 years,0,0
Connecticut,Unknown,15-24 years,0,0
Connecticut,Unknown,18-29 years,0,0
Connecticut,Unknown,25-34 years,0,0
Connecticut,Unknown,30-49 years,0,0
Connecticut,Unknown,35-44 years,0,0
Connecticut,Unknown,45-54 years,0,0
Connecticut,Unknown,50-64 years,0,0
Connecticut,Unknown,55-64 years,0,0
Connecticut,Unknown,65-74 years,0,0
Connecticut,Unknown,75-84 years,0,0
Connecticut,Unknown,85 years and over,0,0
Delaware,All Sexes,All Ages,596,231
Delaware,Male,All Ages,280,118
Delaware,Male,Under 1 year,0,0
Delaware,Male,0-17 years,0,0
Delaware,Male,1-4 years,0,0
Delaware,Male,5-14 years,0,0
Delaware,Male,15-24 years,0,0
Delaware,Male,18-29 years,0,0
Delaware,Male,25-34 years,0,0
Delaware,Male,30-49 years,11,0
Delaware,Male,35-44 years,0,0
Delaware,Male,45-54 years,12,0
Delaware,Male,50-64 years,42,22
Delaware,Male,55-64 years,35,18
Delaware,Male,65-74 years,79,37
Delaware,Male,75-84 years,79,29
Delaware,Male,85 years and over,67,27
Delaware,Female,All Ages,316,113
Delaware,Female,Under 1 year,0,0
Delaware,Female,0-17 years,0,0
Delaware,Female,1-4 years,0,0
Delaware,Female,5-14 years,0,0
Delaware,Female,15-24 years,0,0
Delaware,Female,18-29 years,0,0
Delaware,Female,25-34 years,0,0
Delaware,Female,30-49 years,0,0
Delaware,Female,35-44 years,0,0
Delaware,Female,45-54 years,16,0
Delaware,Female,50-64 years,38,18
Delaware,Female,55-64 years,25,13
Delaware,Female,65-74 years,48,19
Delaware,Female,75-84 years,79,32
Delaware,Female,85 years and over,140,38
Delaware,Unknown,All Ages,0,0
Delaware,Unknown,Under 1 year,0,0
Delaware,Unknown,0-17 years,0,0
Delaware,Unknown,1-4 years,0,0
Delaware,Unknown,5-14 years,0,0
Delaware,Unknown,15-24 years,0,0
Delaware,Unknown,18-29 years,0,0
Delaware,Unknown,25-34 years,0,0
Delaware,Unknown,30-49 years,0,0
Delaware,Unknown,35-44 years,0,0
Delaware,Unknown,45-54 years,0,0
Delaware,Unknown,50-64 years,0,0
Delaware,Unknown,55-64 years,0,0
Delaware,Unknown,65-74 years,0,0
Delaware,Unknown,75-84 years,0,0
Delaware,Unknown,85 years and over,0,0
District of Columbia,All Sexes,All Ages,783,744
District of Columbia,Male,All Ages,457,432
District of Columbia,Male,Under 1 year,0,0
District of Columbia,Male,0-17 years,0,0
District of Columbia,Male,1-4 years,0,0
District of Columbia,Male,5-14 years,0,0
District of Columbia,Male,15-24 years,0,0
District of Columbia,Male,18-29 years,0,0
District of Columbia,Male,25-34 years,0,0
District of Columbia,Male,30-49 years,43,39
District of Columbia,Male,35-44 years,22,20
District of Columbia,Male,45-54 years,49,46
District of Columbia,Male,50-64 years,118,108
District of Columbia,Male,55-64 years,88,79
District of Columbia,Male,65-74 years,134,130
District of Columbia,Male,75-84 years,93,89
District of Columbia,Male,85 years and over,64,62
District of Columbia,Female,All Ages,326,312
District of Columbia,Female,Under 1 year,0,0
District of Columbia,Female,0-17 years,0,0
District of Columbia,Female,1-4 years,0,0
District of Columbia,Female,5-14 years,0,0
District of Columbia,Female,15-24 years,0,0
District of Columbia,Female,18-29 years,0,0
District of Columbia,Female,25-34 years,0,0
District of Columbia,Female,30-49 years,15,15
District of Columbia,Female,35-44 years,0,0
District of Columbia,Female,45-54 years,22,22
District of Columbia,Female,50-64 years,67,63
District of Columbia,Female,55-64 years,54,50
District of Columbia,Female,65-74 years,77,72
District of Columbia,Female,75-84 years,69,67
District of Columbia,Female,85 years and over,95,92
District of Columbia,Unknown,All Ages,0,0
District of Columbia,Unknown,Under 1 year,0,0
District of Columbia,Unknown,0-17 years,0,0
District of Columbia,Unknown,1-4 years,0,0
District of Columbia,Unknown,5-14 years,0,0
District of Columbia,Unknown,15-24 years,0,0
District of Columbia,Unknown,18-29 years,0,0
District of Columbia,Unknown,25-34 years,0,0
District of Columbia,Unknown,30-49 years,0,0
District of Columbia,Unknown,35-44 years,0,0
District of Columbia,Unknown,45-54 years,0,0
District of Columbia,Unknown,50-64 years,0,0
District of Columbia,Unknown,55-64 years,0,0
District of Columbia,Unknown,65-74 years,0,0
District of Columbia,Unknown,75-84 years,0,0
District of Columbia,Unknown,85 years and over,0,0
Florida,All Sexes,All Ages,16059,8741
Florida,Male,All Ages,8937,5038
Florida,Male,Under 1 year,0,0
Florida,Male,0-17 years,0,0
Florida,Male,1-4 years,0,0
Florida,Male,5-14 years,0,0
Florida,Male,15-24 years,20,0
Florida,Male,18-29 years,40,19
Florida,Male,25-34 years,62,32
Florida,Male,30-49 years,407,229
Florida,Male,35-44 years,181,98
Florida,Male,45-54 years,462,259
Florida,Male,50-64 years,1481,845
Florida,Male,55-64 years,1205,696
Florida,Male,65-74 years,2142,1248
Florida,Male,75-84 years,2653,1498
Florida,Male,85 years and over,2211,1198
Florida,Female,All Ages,7122,3703
Florida,Female,Under 1 year,0,0
Florida,Female,0-17 years,0,0
Florida,Female,1-4 years,0,0
Florida,Female,5-14 years,0,0
Florida,Female,15-24 years,13,0
Florida,Female,18-29 years,20,10
Florida,Female,25-34 years,37,25
Florida,Female,30-49 years,219,125
Florida,Female,35-44 years,101,51
Florida,Female,45-54 years,223,120
Florida,Female,50-64 years,759,416
Florida,Female,55-64 years,626,351
Florida,Female,65-74 years,1351,764
Florida,Female,75-84 years,1993,1086
Florida,Female,85 years and over,2774,1300
Florida,Unknown,All Ages,0,0
Florida,Unknown,Under 1 year,0,0
Florida,Unknown,0-17 years,0,0
Florida,Unknown,1-4 years,0,0
Florida,Unknown,5-14 years,0,0
Florida,Unknown,15-24 years,0,0
Florida,Unknown,18-29 years,0,0
Florida,Unknown,25-34 years,0,0
Florida,Unknown,30-49 years,0,0
Florida,Unknown,35-44 years,0,0
Florida,Unknown,45-54 years,0,0
Florida,Unknown,50-64 years,0,0
Florida,Unknown,55-64 years,0,0
Florida,Unknown,65-74 years,0,0
Florida,Unknown,75-84 years,0,0
Florida,Unknown,85 years and over,0,0
Georgia,All Sexes,All Ages,6746,3185
Georgia,Male,All Ages,3561,1765
Georgia,Male,Under 1 year,0,0
Georgia,Male,0-17 years,0,0
Georgia,Male,1-4 years,0,0
Georgia,Male,5-14 years,0,0
Georgia,Male,15-24 years,10,0
Georgia,Male,18-29 years,18,0
Georgia,Male,25-34 years,36,10
Georgia,Male,30-49 years,213,97
Georgia,Male,35-44 years,86,37
Georgia,Male,45-54 years,256,133
Georgia,Male,50-64 years,736,357
Georgia,Male,55-64 years,581,277
Georgia,Male,65-74 years,999,509
Georgia,Male,75-84 years,978,519
Georgia,Male,85 years and over,610,277
Georgia,Female,All Ages,3185,1420
Georgia,Female,Under 1 year,0,0
Georgia,Female,0-17 years,0,0
Georgia,Female,1-4 years,0,0
Georgia,Female,5-14 years,0,0
Georgia,Female,15-24 years,0,0
Georgia,Female,18-29 years,17,0
Georgia,Female,25-34 years,34,13
Georgia,Female,30-49 years,161,64
Georgia,Female,35-44 years,71,26
Georgia,Female,45-54 years,152,76
Georgia,Female,50-64 years,495,241
Georgia,Female,55-64 years,409,195
Georgia,Female,65-74 years,701,318
Georgia,Female,75-84 years,849,400
Georgia,Female,85 years and over,961,389
Georgia,Unknown,All Ages,0,0
Georgia,Unknown,Under 1 year,0,0
Georgia,Unknown,0-17 years,0,0
Georgia,Unknown,1-4 years,0,0
Georgia,Unknown,5-14 years,0,0
Georgia,Unknown,15-24 years,0,0
Georgia,Unknown,18-29 years,0,0
Georgia,Unknown,25-34 years,0,0
Georgia,Unknown,30-49 years,0,0
Georgia,Unknown,35-44 years,0,0
Georgia,Unknown,45-54 years,0,0
Georgia,Unknown,50-64 years,0,0
Georgia,Unknown,55-64 years,0,0
Georgia,Unknown,65-74 years,0,0
Georgia,Unknown,75-84 years,0,0
Georgia,Unknown,85 years and over,0,0
Hawaii,All Sexes,All Ages,241,109
Hawaii,Male,All Ages,144,65
Hawaii,Male,Under 1 year,0,0
Hawaii,Male,0-17 years,0,0
Hawaii,Male,1-4 years,0,0
Hawaii,Male,5-14 years,0,0
Hawaii,Male,15-24 years,0,0
Hawaii,Male,18-29 years,0,0
Hawaii,Male,25-34 years,0,0
Hawaii,Male,30-49 years,0,0
Hawaii,Male,35-44 years,0,0
Hawaii,Male,45-54 years,11,0
Hawaii,Male,50-64 years,32,15
Hawaii,Male,55-64 years,21,11
Hawaii,Male,65-74 years,36,17
Hawaii,Male,75-84 years,34,14
Hawaii,Male,85 years and over,39,18
Hawaii,Female,All Ages,97,44
Hawaii,Female,Under 1 year,0,0
Hawaii,Female,0-17 years,0,0
Hawaii,Female,1-4 years,0,0
Hawaii,Female,5-14 years,0,0
Hawaii,Female,15-24 years,0,0
Hawaii,Female,18-29 years,0,0
Hawaii,Female,25-34 years,0,0
Hawaii,Female,30-49 years,0,0
Hawaii,Female,35-44 years,0,0
Hawaii,Female,45-54 years,0,0
Hawaii,Female,50-64 years,15,0
Hawaii,Female,55-64 years,14,0
Hawaii,Female,65-74 years,17,0
Hawaii,Female,75-84 years,17,0
Hawaii,Female,85 years and over,42,17
Hawaii,Unknown,All Ages,0,0
Hawaii,Unknown,Under 1 year,0,0
Hawaii,Unknown,0-17 years,0,0
Hawaii,Unknown,1-4 years,0,0
Hawaii,Unknown,5-14 years,0,0
Hawaii,Unknown,15-24 years,0,0
Hawaii,Unknown,18-29 years,0,0
Hawaii,Unknown,25-34 years,0,0
Hawaii,Unknown,30-49 years,0,0
Hawaii,Unknown,35-44 years,0,0
Hawaii,Unknown,45-54 years,0,0
Hawaii,Unknown,50-64 years,0,0
Hawaii,Unknown,55-64 years,0,0
Hawaii,Unknown,65-74 years,0,0
Hawaii,Unknown,75-84 years,0,0
